action	path	size_or_rows
filter	data/pipeline_events/pipeline_events_2026-06-04.jsonl	removed_rows=51916;kept_rows=4253
filter	data/threshold_cycle/threshold_events_2026-06-04.jsonl	removed_rows=26520;kept_rows=2304
delete	data/pipeline_events/pipeline_events_2026-04-09.jsonl.gz	size_bytes=15476014
delete	data/pipeline_events/pipeline_events_2026-04-10.jsonl.gz	size_bytes=9820392
delete	data/pipeline_events/pipeline_events_2026-04-13.jsonl.gz	size_bytes=33828479
delete	data/pipeline_events/pipeline_events_2026-04-14.jsonl.gz	size_bytes=34577258
delete	data/pipeline_events/pipeline_events_2026-04-15.jsonl.gz	size_bytes=15118358
delete	data/pipeline_events/pipeline_events_2026-04-16.jsonl.gz	size_bytes=38470589
delete	data/pipeline_events/pipeline_events_2026-04-17.jsonl.gz	size_bytes=36227615
delete	data/pipeline_events/pipeline_events_2026-04-20.jsonl.gz	size_bytes=15328433
delete	data/pipeline_events/pipeline_events_2026-04-21.jsonl.gz	size_bytes=37248603
delete	data/pipeline_events/pipeline_events_2026-04-22.jsonl.gz	size_bytes=33666163
delete	data/pipeline_events/pipeline_events_2026-04-23.jsonl.gz	size_bytes=44932285
delete	data/pipeline_events/pipeline_events_2026-04-24.jsonl.gz	size_bytes=34879956
delete	data/pipeline_events/pipeline_events_2026-04-25.jsonl	size_bytes=104516
delete	data/pipeline_events/pipeline_events_2026-04-27.jsonl.gz	size_bytes=46887471
delete	data/pipeline_events/pipeline_events_2026-04-28.jsonl.gz	size_bytes=58479766
delete	data/pipeline_events/pipeline_events_2026-04-29.jsonl.gz	size_bytes=58148976
delete	data/pipeline_events/pipeline_events_2026-04-30.jsonl.gz	size_bytes=43990249
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-09/pipeline_events_20260409.parquet	size_bytes=28488440
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-10/pipeline_events_20260410.parquet	size_bytes=25018350
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-13/pipeline_events_20260413.parquet	size_bytes=47574256
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-14/pipeline_events_20260414.parquet	size_bytes=49092493
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-15/pipeline_events_20260415.parquet	size_bytes=26068946
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-16/pipeline_events_20260416.parquet	size_bytes=56164555
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-17/pipeline_events_20260417.parquet	size_bytes=51778499
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-20/pipeline_events_20260420.parquet	size_bytes=23778692
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-21/pipeline_events_20260421.parquet	size_bytes=52576348
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-22/pipeline_events_20260422.parquet	size_bytes=47614240
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-23/pipeline_events_20260423.parquet	size_bytes=63236136
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-24/pipeline_events_20260424.parquet	size_bytes=48923187
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-27/pipeline_events_20260427.parquet	size_bytes=65041510
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-28/pipeline_events_20260428.parquet	size_bytes=78296046
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-29/pipeline_events_20260429.parquet	size_bytes=78892772
delete	data/source_quality/analytics_quarantine/2026-06-04_clean_analytics_quarantine_140337/parquet/pipeline_events/date=2026-04-30/pipeline_events_20260430.parquet	size_bytes=65500693
