stock_code	decision_date	api_id	base_dt	retrieved_at_kst	received_count	page_count	truncated_window	prior_count	prior_250_high	prior_250_low	prior_bars_sha256	status	error_type
000500	2026-09-16	ka10081	20260916	2026-09-24T13:09:35.484833+09:00	600	1	True	250	352870.0	29230.0	a04b03986269716014b0255b027f92046f22a27b9170b97c5c2446f8ec77107e	usable	
000670	2026-09-15	ka10081	20260915	2026-09-24T13:09:35.827055+09:00	600	1	True	250	71800.0	31000.0	626912cf4399e883eacd7e2b450f1ef444a3c88970f3e256627e4e2b767949c3	usable	
000720	2026-09-22	ka10081	20260922	2026-09-24T13:09:36.166052+09:00	600	1	True	250	198400.0	54100.0	47b7d07f14704f4d32650d4c0378d39ef270ea0c5937e04df0e1ddcda86e18e8	usable	
000990	2026-09-14	ka10081	20260914	2026-09-24T13:09:36.685878+09:00	600	1	True	250	230500.0	44050.0	0639b35df14b7b44a7a5caad1e829b0cd009573b53d15e9ed17baae5f64da075	usable	
000990	2026-09-15	ka10081	20260915	2026-09-24T13:09:37.007764+09:00	600	1	True	250	230500.0	44500.0	d41dbe2473c297ae95760ca28ca68832b2d1bcab54f3e03449cadc2a94911ed2	usable	
000990	2026-09-16	ka10081	20260916	2026-09-24T13:09:37.332051+09:00	600	1	True	250	230500.0	44550.0	569d37b010735c6dd797b5e18a2519c363c8eb4184026cd30789e166af5718f4	usable	
001210	2026-09-16	ka10081	20260916	2026-09-24T13:09:37.652401+09:00	600	1	True	250	14350.0	2325.0	1ea425ce9c6c619962f4d67f1f3bb2b461d7ff5be64158ad25d422ff2bcaa65d	usable	
001440	2026-09-22	ka10081	20260922	2026-09-24T13:09:37.973940+09:00	600	1	True	250	75900.0	15000.0	40bdfd61d82114ef01663ebba5598c5c45505f321cea1e4b23a366fd31d75d52	usable	
003160	2026-09-21	ka10081	20260921	2026-09-24T13:09:38.292664+09:00	600	1	True	250	41700.0	14010.0	e67754b3ed05416e1a85a20c2facda4296cd79f09dbeacc801774133b1799b96	usable	
003200	2026-09-14	ka10081	20260914	2026-09-24T13:09:38.622214+09:00	600	1	True	250	17800.0	9300.0	16ef1e08bdf8f8a05f9d2f0eade65495507655012732ba56063b542b14f9011d	usable	
003350	2026-09-14	ka10081	20260914	2026-09-24T13:09:38.942547+09:00	600	1	True	250	16920.0	6750.0	bee0eb50f5c5a3385a0b6a796b6c180c33e8eeb4cc7052632973a4a8455dfd78	usable	
003670	2026-09-22	ka10081	20260922	2026-09-24T13:09:39.265414+09:00	600	1	True	250	299500.0	114700.0	5354eec2dcf53c37560a50e566eeda7667b6de6445ebde9e531869af405c2e3a	usable	
