action_block_r	action_enter_r	action_recheck_r	association_status	end_return_10m_n	end_return_10m_r	end_return_1m_n	end_return_1m_r	end_return_20m_n	end_return_20m_r	end_return_30m_n	end_return_30m_r	end_return_3m_n	end_return_3m_r	end_return_5m_n	end_return_5m_r	end_return_60m_n	end_return_60m_r	entry_target_n	entry_target_proxy_r	family	field	field_role	missing_pct	n_present	nonentry_avoidance_n	nonentry_avoidance_proxy_r	outcome_n	outcome_target_first_r	type	unique	values
0.02709	-0.06203	-0.01225	computed_or_insufficient	2683	0.00986	2666	-0.04335	1301	0.00075	997	-0.09163	2384	-0.03267	2217	-0.02363	564		37	-0.2895	applied_thresholds	applied_thresholds.maximum_spread_bp	policy_coordinate	12.83	2683	2646	0.06152	2683	-0.07067	numeric	2	"{""max"": 100.0, ""median"": 100.0, ""min"": 80.0, ""q10"": 100.0, ""q90"": 100.0}"
			computed_or_insufficient	2683		2666		1301		997		2384		2217		564		37		applied_thresholds	applied_thresholds.maximum_top3_ask_to_bid_ratio	policy_coordinate	12.83	2683	2646		2683		numeric	1	"{""max"": 5.0, ""median"": 5.0, ""min"": 5.0, ""q10"": 5.0, ""q90"": 5.0}"
			computed_or_insufficient	2683		2666		1301		997		2384		2217		564		37		applied_thresholds	applied_thresholds.minimum_fillability_score	policy_coordinate	12.83	2683	2646		2683		numeric	1	"{""max"": 15.0, ""median"": 15.0, ""min"": 15.0, ""q10"": 15.0, ""q90"": 15.0}"
			computed_or_insufficient	2683		2666		1301		997		2384		2217		564		37		applied_thresholds	applied_thresholds.minimum_micro_net_aggressive_delta_10t	policy_coordinate	12.83	2683	2646		2683		numeric	1	"{""max"": 1.0, ""median"": 1.0, ""min"": 1.0, ""q10"": 1.0, ""q90"": 1.0}"
			computed_or_insufficient	2683		2666		1301		997		2384		2217		564		37		applied_thresholds	applied_thresholds.minimum_micro_price_change_10t_pct	policy_coordinate	12.83	2683	2646		2683		numeric	1	"{""max"": 0.0, ""median"": 0.0, ""min"": 0.0, ""q10"": 0.0, ""q90"": 0.0}"
			no_observed_value																	label_context	label_context.adverse_pct	outcome_reference_context	100.0	0					categorical	0	{}
			no_observed_value																	label_context	label_context.adverse_price	outcome_reference_context	100.0	0					categorical	0	{}
-0.05858	0.00886	0.05694	computed_or_insufficient	3078	-0.07204	3059	0.03033	1368	-0.02494	1064	0.0463	2718	0.01746	2477	-0.04708	623	0.1386	39	0.19669	label_context	label_context.best_ask	outcome_reference_context	0.0	3078	3039	-0.03129	3078	0.03422	numeric	1497	"{""max"": 1425000.0, ""median"": 14925.0, ""min"": 1161.0, ""q10"": 3931.0, ""q90"": 77300.0}"
-0.05888	0.00901	0.05721	computed_or_insufficient	3078	-0.07162	3059	0.03136	1368	-0.02455	1064	0.04656	2718	0.01818	2477	-0.04659	623	0.13844	39	0.19669	label_context	label_context.best_bid	outcome_reference_context	0.0	3078	3039	-0.03229	3078	0.03523	numeric	1492	"{""max"": 1424000.0, ""median"": 14880.0, ""min"": 1160.0, ""q10"": 3894.5, ""q90"": 76730.0}"
			no_observed_value																	label_context	label_context.broker_order_no	outcome_reference_context	100.0	0					categorical	0	{}
0.03333	0.00147	0.03323	computed_or_insufficient	3066	0.215	3047	0.09594	1361	0.27992	1057	0.20515	2708	0.14298	2468	0.19078	618	0.05171	39	0.05774	label_context	label_context.broker_route	outcome_reference_context	0.39	3066	3027	0.14571	3066	0.14443	categorical	2	"{""NXT"": 691, ""SOR"": 2375}"
0.03567	0.00472	0.03534	computed_or_insufficient	3078	0.22686	3059	0.10502	1368	0.3145	1064	0.26461	2718	0.15418	2477	0.19796	623	0.13727	39	0.23979	label_context	label_context.effective_venue	outcome_reference_context	0.0	3078	3039	0.16397	3078	0.16105	categorical	3	"{""KRX"": 2387, ""KRX_NXT_INTEGRATED"": 434, ""PREMARKET_KRX_LIKE"": 257}"
			no_observed_value																	label_context	label_context.entry_conservative_execution_cost_pct	outcome_reference_context	100.0	0					categorical	0	{}
			identity_or_clock																	label_context	label_context.evaluation_attempt_id	outcome_reference_context	13.22	2671					categorical	2663	"{""aims-10367e8d62b82ea1faf2"": 2, ""aims-1d5379f12d26ca773a09"": 2, ""aims-9caf9553db0d6565534f"": 2, ""aims-a96063a3479e293e2cc2"": 2, ""aims-b43741a112dc419eddfe"": 2, ""aims-d1c697908a957b3cad75"": 2, ""aims-d5c3b75106720c868fff"": 2, ""aims-fb26d3692fa012e49799"": 2}"
			identity_or_clock																	label_context	label_context.first_watch_epoch	outcome_reference_context	26.8	2253					numeric	173	"{""max"": 1790148510.695, ""median"": 1789517708.142, ""min"": 1789344341.821, ""q10"": 1789430740.073, ""q90"": 1790041979.721}"
-0.07405	0.01589	0.07084	computed_or_insufficient	2253	-0.11219	2236	-0.00332	973	-0.03124	755	0.00873	1970	-0.02159	1812	-0.08462	507	0.11047	30	0.15172	label_context	label_context.first_watch_price	outcome_reference_context	26.8	2253	2223	-0.0054	2253	0.00809	numeric	242	"{""max"": 1420000.0, ""median"": 15010.0, ""min"": 1129.0, ""q10"": 3960.0, ""q90"": 74800.0}"
0.06909	0.01751	0.06539	computed_or_insufficient	2924	0.20702	2905	0.06672	1271	0.18083	972	0.14015	2581	0.10792	2343	0.16139	541	0.03089	39	0.073	label_context	label_context.market_data_route	outcome_reference_context	5.0	2924	2885	0.10306	2924	0.10208	categorical	2	"{""krx_nxt_integrated"": 1281, ""krx_only"": 1643}"
			no_observed_value																	label_context	label_context.position_cycle_id	outcome_reference_context	100.0	0					categorical	0	{}
0.024	0.03663	-0.03296	computed_or_insufficient	2253	0.03784	2236	0.0885	973	0.08912	755	0.11795	1970	0.05218	1812	0.0494	507	-0.15455	30	-0.42356	label_context	label_context.price_delta_since_first_watch_pct	outcome_reference_context	26.8	2253	2223	-0.02129	2253	0.01695	numeric	1461	"{""max"": 29.1667, ""median"": 3.3311, ""min"": -8.2963, ""q10"": -1.5679, ""q90"": 11.5245}"
			no_observed_value																	label_context	label_context.probe_bundle_id	outcome_reference_context	100.0	0					categorical	0	{}
			no_observed_value																	label_context	label_context.recommendation_id	outcome_reference_context	100.0	0					categorical	0	{}
