action_block_r	action_enter_r	action_recheck_r	association_status	end_return_10m_n	end_return_10m_r	end_return_1m_n	end_return_1m_r	end_return_20m_n	end_return_20m_r	end_return_30m_n	end_return_30m_r	end_return_3m_n	end_return_3m_r	end_return_5m_n	end_return_5m_r	end_return_60m_n	end_return_60m_r	entry_target_n	entry_target_proxy_r	family	field	field_role	missing_pct	n_present	nonentry_avoidance_n	nonentry_avoidance_proxy_r	outcome_n	outcome_target_first_r	type	unique	values
			computed_or_insufficient	351		351		161		110		299		303		57		14		applied_thresholds	applied_thresholds.maximum_spread_bp	policy_coordinate	0.0	351	337		351		numeric	1	"{""max"": 100.0, ""median"": 100.0, ""min"": 100.0, ""q10"": 100.0, ""q90"": 100.0}"
			computed_or_insufficient	351		351		161		110		299		303		57		14		applied_thresholds	applied_thresholds.maximum_top3_ask_to_bid_ratio	policy_coordinate	0.0	351	337		351		numeric	1	"{""max"": 5.0, ""median"": 5.0, ""min"": 5.0, ""q10"": 5.0, ""q90"": 5.0}"
			computed_or_insufficient	351		351		161		110		299		303		57		14		applied_thresholds	applied_thresholds.minimum_fillability_score	policy_coordinate	0.0	351	337		351		numeric	1	"{""max"": 15.0, ""median"": 15.0, ""min"": 15.0, ""q10"": 15.0, ""q90"": 15.0}"
			computed_or_insufficient	351		351		161		110		299		303		57		14		applied_thresholds	applied_thresholds.minimum_micro_net_aggressive_delta_10t	policy_coordinate	0.0	351	337		351		numeric	1	"{""max"": 1.0, ""median"": 1.0, ""min"": 1.0, ""q10"": 1.0, ""q90"": 1.0}"
			computed_or_insufficient	351		351		161		110		299		303		57		14		applied_thresholds	applied_thresholds.minimum_micro_price_change_10t_pct	policy_coordinate	0.0	351	337		351		numeric	1	"{""max"": 0.0, ""median"": 0.0, ""min"": 0.0, ""q10"": 0.0, ""q90"": 0.0}"
			no_observed_value																	label_context	label_context.adverse_pct	outcome_reference_context	100.0	0					categorical	0	{}
			no_observed_value																	label_context	label_context.adverse_price	outcome_reference_context	100.0	0					categorical	0	{}
-0.1334	0.02859	0.11743	computed_or_insufficient	351	0.01515	351	-0.00307	161	0.05674	110	0.11618	299	0.07058	303	0.01906	57	0.26863	14		label_context	label_context.best_ask	outcome_reference_context	0.0	351	337	-0.12442	351	0.13274	numeric	302	"{""max"": 214500.0, ""median"": 15440.0, ""min"": 1161.0, ""q10"": 2855.0, ""q90"": 135000.0}"
-0.13383	0.02859	0.11785	computed_or_insufficient	351	0.01547	351	-0.00297	161	0.05689	110	0.11588	299	0.07055	303	0.01948	57	0.26847	14		label_context	label_context.best_bid	outcome_reference_context	0.0	351	337	-0.12461	351	0.13291	numeric	297	"{""max"": 214000.0, ""median"": 15420.0, ""min"": 1160.0, ""q10"": 2845.0, ""q90"": 134900.0}"
			no_observed_value																	label_context	label_context.broker_order_no	outcome_reference_context	100.0	0					categorical	0	{}
			computed_or_insufficient	351		351		161		110		299		303		57		14		label_context	label_context.broker_route	outcome_reference_context	0.0	351	337		351		categorical	1	"{""SOR"": 351}"
			computed_or_insufficient	351		351		161		110		299		303		57		14		label_context	label_context.effective_venue	outcome_reference_context	0.0	351	337		351		categorical	1	"{""KRX"": 351}"
			no_observed_value																	label_context	label_context.entry_conservative_execution_cost_pct	outcome_reference_context	100.0	0					categorical	0	{}
			identity_or_clock																	label_context	label_context.evaluation_attempt_id	outcome_reference_context	0.0	351					categorical	351	"{""aims-21f48c72b14015c9c3ac"": 1, ""aims-420311b2291900a98132"": 1, ""aims-52dfd229d711c9420815"": 1, ""aims-7734d6e3f4c08e1b6424"": 1, ""aims-98a0f156863826d76d45"": 1, ""aims-9a46eecff3fd8aa1691e"": 1, ""aims-c3a8cf9ece7800d550b6"": 1, ""aims-d32984299359412a3ddc"": 1}"
			identity_or_clock																	label_context	label_context.first_watch_epoch	outcome_reference_context	0.0	351					numeric	55	"{""max"": 1790134733.03, ""median"": 1790041979.721, ""min"": 1790035405.843, ""q10"": 1790035668.687, ""q90"": 1790124880.905}"
-0.12881	0.01769	0.11747	computed_or_insufficient	351	0.0281	351	0.00585	161	0.06739	110	0.12844	299	0.07159	303	0.02263	57	0.36792	14		label_context	label_context.first_watch_price	outcome_reference_context	0.0	351	337	-0.14079	351	0.14976	numeric	83	"{""max"": 215000.0, ""median"": 14720.0, ""min"": 1129.0, ""q10"": 2440.0, ""q90"": 128900.0}"
0.14602	0.00878	0.13781	computed_or_insufficient	351	0.01461	351	0.00444	161	0.07967	110	0.14085	299	0.02086	303	0.02016	57	0.08604	14		label_context	label_context.market_data_route	outcome_reference_context	0.0	351	337	0.07829	351	0.06945	categorical	2	"{""krx_nxt_integrated"": 143, ""krx_only"": 208}"
			no_observed_value																	label_context	label_context.position_cycle_id	outcome_reference_context	100.0	0					categorical	0	{}
0.00241	0.05711	-0.02585	computed_or_insufficient	351	-0.24538	351	-0.12061	161	-0.19556	110	-0.09675	299	-0.14113	303	-0.15363	57	-0.37144	14		label_context	label_context.price_delta_since_first_watch_pct	outcome_reference_context	0.0	351	337	0.242	351	-0.25425	numeric	309	"{""max"": 29.1667, ""median"": 3.9174, ""min"": -8.2963, ""q10"": -0.246, ""q90"": 11.5165}"
			no_observed_value																	label_context	label_context.probe_bundle_id	outcome_reference_context	100.0	0					categorical	0	{}
			no_observed_value																	label_context	label_context.recommendation_id	outcome_reference_context	100.0	0					categorical	0	{}
			identity_or_clock																	label_context	label_context.record_id	outcome_reference_context	0.0	351					numeric	88	"{""max"": 47969.0, ""median"": 47072.0, ""min"": 46705.0, ""q10"": 46748.0, ""q90"": 47790.0}"
