session	policy	kind	cap_min	min_hold	target	arm	additional	drawdown	split	n	triggered	armed	mean_net_model_pct	median_net_model_pct	p10_net_model_pct	negative_count	actual_profit_mean_pct	date_first	date_last
PREMARKET	time:	time	10						train	13	13	0	0.2974	0.2481	-1.1123	3	1.48	2026-07-01	2026-07-23
PREMARKET	time:	time	10						holdout	18	18	0	1.7316	0.411	-0.7717	4	0.88	2026-07-28	2026-09-23
PREMARKET	time:	time	10						all	31	31	0	1.1301	0.2481	-0.91	7	1.1316	2026-07-01	2026-09-23
PREMARKET	threshold:min_hold=1,target=0.5	threshold	10	1	0.5				train	13	9	0	0.7899	0.8786	-1.1123	3	1.48	2026-07-01	2026-07-23
PREMARKET	threshold:min_hold=1,target=0.5	threshold	10	1	0.5				holdout	18	12	0	1.0134	0.671	-0.7717	3	0.88	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=1,target=0.5	threshold	10	1	0.5				all	31	21	0	0.9197	0.6853	-0.91	6	1.1316	2026-07-01	2026-09-23
PREMARKET	threshold:min_hold=1,target=1	threshold	10	1	1.0				train	13	7	0	0.8019	1.0657	-1.1123	3	1.48	2026-07-01	2026-07-23
PREMARKET	threshold:min_hold=1,target=1	threshold	10	1	1.0				holdout	18	10	0	1.0584	1.0543	-0.7717	3	0.88	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=1,target=1	threshold	10	1	1.0				all	31	17	0	0.9508	1.0657	-0.91	6	1.1316	2026-07-01	2026-09-23
PREMARKET	threshold:min_hold=1,target=1.5	threshold	10	1	1.5				train	13	5	0	0.7632	0.6294	-1.1123	3	1.48	2026-07-01	2026-07-23
PREMARKET	threshold:min_hold=1,target=1.5	threshold	10	1	1.5				holdout	18	9	0	1.1974	1.2229	-0.7717	3	0.88	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=1,target=1.5	threshold	10	1	1.5				all	31	14	0	1.0153	0.6853	-0.91	6	1.1316	2026-07-01	2026-09-23
PREMARKET	threshold:min_hold=1,target=2	threshold	10	1	2.0				train	13	3	0	0.617	0.4701	-1.1123	3	1.48	2026-07-01	2026-07-23
PREMARKET	threshold:min_hold=1,target=2	threshold	10	1	2.0				holdout	18	9	0	1.2389	1.4237	-0.7717	3	0.88	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=1,target=2	threshold	10	1	2.0				all	31	12	0	0.9781	0.6294	-0.91	6	1.1316	2026-07-01	2026-09-23
