record_id	date	session	split	mechanical_trigger_time	trailing_trigger_time	first_winner	joint_model_net_pct	mechanical_only_net_pct	trailing_only_net_pct	fixed20_net_pct
14824	2026-07-01	REGULAR	train		2026-07-01 12:34:00	trailing	0.4793	0.4793	0.4793	0.4793
14819	2026-07-01	REGULAR	train	2026-07-01 12:52:00	2026-07-01 12:42:00	trailing	0.1616	2.8242	0.1616	2.276
14762	2026-07-01	REGULAR	train	2026-07-01 11:14:00	2026-07-01 11:12:00	trailing	0.3295	1.6349	0.3295	2.0078
14786	2026-07-01	REGULAR	train	2026-07-01 11:22:00		mechanical	1.6939	1.6939	1.6939	1.6939
14770	2026-07-01	REGULAR	train	2026-07-01 10:49:00	2026-07-01 10:48:00	trailing	0.7125	2.0589	0.7125	-0.3646
14749	2026-07-01	REGULAR	train			fallback_20m	-1.9865	-1.9865	-1.9865	-1.9865
14750	2026-07-01	REGULAR	train	2026-07-01 10:25:00	2026-07-01 10:26:00	mechanical	1.7035	1.7035	1.6069	1.8969
14758	2026-07-01	REGULAR	train	2026-07-01 10:20:00	2026-07-01 10:17:00	trailing	0.9197	1.8694	0.9197	1.3695
14742	2026-07-01	REGULAR	train	2026-07-01 09:20:00	2026-07-01 09:13:00	trailing	-0.0389	2.0636	-0.0389	-0.8034
14731	2026-07-01	REGULAR	train	2026-07-01 09:12:00	2026-07-01 09:12:00	same_minute	1.8564	1.8564	1.8564	-1.1784
14717	2026-07-01	REGULAR	train	2026-07-01 09:11:00	2026-07-01 09:11:00	same_minute	2.7933	2.7933	2.7933	1.1927
15106	2026-07-02	REGULAR	train	2026-07-02 15:03:00	2026-07-02 14:59:00	trailing	2.7366	2.7366	2.7366	-1.1668
15100	2026-07-02	REGULAR	train	2026-07-02 14:22:00	2026-07-02 14:23:00	mechanical	1.6948	1.6948	1.0532	0.8928
15036	2026-07-02	REGULAR	train	2026-07-02 14:03:00	2026-07-02 14:02:00	trailing	5.0409	4.2879	5.0409	3.9114
15068	2026-07-02	REGULAR	train	2026-07-02 12:38:00	2026-07-02 12:39:00	mechanical	1.7104	1.7104	2.0338	0.5785
15056	2026-07-02	REGULAR	train	2026-07-02 11:18:00	2026-07-02 11:20:00	mechanical	2.4665	2.4665	1.0748	5.25
15035	2026-07-02	REGULAR	train	2026-07-02 11:02:00	2026-07-02 11:00:00	trailing	-0.4083	2.4448	-0.4083	2.9798
14996	2026-07-02	PREMARKET	train	2026-07-02 08:43:00	2026-07-02 08:41:00	trailing	0.6361	1.8485	0.6361	1.3289
14984	2026-07-02	PREMARKET	train		2026-07-02 08:17:00	trailing	1.8558	-1.2729	1.8558	-1.2729
15251	2026-07-03	REGULAR	train	2026-07-03 15:00:00	2026-07-03 15:00:00	same_minute	2.708	2.708	2.708	2.402
15255	2026-07-03	REGULAR	train	2026-07-03 14:49:00	2026-07-03 14:47:00	trailing	1.6305	2.3282	1.6305	4.4213
15240	2026-07-03	REGULAR	train			fallback_20m	-1.3067	-1.3067	-1.3067	-1.3067
15241	2026-07-03	REGULAR	train	2026-07-03 12:23:00	2026-07-03 12:23:00	same_minute	1.6764	1.6764	1.6764	1.1681
15209	2026-07-03	PREMARKET	train		2026-07-03 08:06:00	trailing	-1.0269	-2.3019	-1.0269	-2.3019
15465	2026-07-06	PREMARKET	train			fallback_20m	-0.4953	-0.4953	-0.4953	-0.4953
15480	2026-07-06	PREMARKET	train	2026-07-06 08:25:00	2026-07-06 08:27:00	mechanical	3.1063	3.1063	4.8538	0.2466
15718	2026-07-07	REGULAR	train	2026-07-07 14:06:00	2026-07-07 14:02:00	trailing	0.6102	1.8704	0.6102	-1.2802
15665	2026-07-07	REGULAR	train	2026-07-07 13:06:00	2026-07-07 12:57:00	trailing	1.2652	2.1487	1.2652	2.1487
15647	2026-07-07	REGULAR	train			fallback_20m	-2.3779	-2.3779	-2.3779	-2.3779
15692	2026-07-07	REGULAR	train	2026-07-07 11:03:00	2026-07-07 11:01:00	trailing	0.3957	2.1339	0.3957	0.1176
15662	2026-07-07	REGULAR	train	2026-07-07 10:29:00	2026-07-07 10:20:00	trailing	-0.2996	1.9268	-0.2996	2.4138
15644	2026-07-07	PREMARKET	train		2026-07-07 08:14:00	trailing	0.4793	-1.6485	0.4793	-1.6485
16057	2026-07-08	REGULAR	train	2026-07-08 11:44:00	2026-07-08 11:45:00	mechanical	1.7741	1.7741	1.0263	3.5688
15954	2026-07-08	REGULAR	train	2026-07-08 10:25:00	2026-07-08 10:27:00	mechanical	1.862	1.862	2.9884	4.1148
16211	2026-07-09	REGULAR	train	2026-07-09 11:46:00	2026-07-09 11:45:00	trailing	2.5271	3.4546	2.5271	8.6821
16199	2026-07-09	REGULAR	train	2026-07-09 09:47:00	2026-07-09 09:49:00	mechanical	1.4777	1.4777	0.8209	-0.3614
16209	2026-07-09	REGULAR	train	2026-07-09 09:35:00	2026-07-09 09:36:00	mechanical	2.626	2.626	1.81	1.2451
16479	2026-07-10	REGULAR	train	2026-07-10 12:44:00		mechanical	1.5144	1.5144	1.5144	1.5144
16521	2026-07-10	REGULAR	train		2026-07-10 11:48:00	trailing	0.3396	0.6244	0.3396	0.6244
16495	2026-07-10	REGULAR	train	2026-07-10 09:53:00	2026-07-10 09:55:00	mechanical	1.4298	1.4298	2.7207	1.7986
17400	2026-07-13	REGULAR	train		2026-07-13 12:57:00	trailing	0.185	0.766	0.185	0.766
17206	2026-07-13	PREMARKET	train	2026-07-13 08:13:00	2026-07-13 08:11:00	trailing	0.7525	1.8244	0.7525	-0.3193
18026	2026-07-14	REGULAR	train	2026-07-14 14:01:00	2026-07-14 14:00:00	trailing	0.5173	1.9186	0.5173	0.4239
18413	2026-07-14	REGULAR	train		2026-07-14 13:38:00	trailing	0.5561	1.0147	0.5561	1.0147
18911	2026-07-15	REGULAR	train			fallback_20m	-1.2081	-1.2081	-1.2081	-1.2081
20752	2026-07-20	REGULAR	train			fallback_20m	-0.5389	-0.5389	-0.5389	-0.5389
20422	2026-07-20	REGULAR	train		2026-07-20 14:39:00	trailing	0.1479	-0.7969	0.1479	-0.7969
20647	2026-07-20	REGULAR	train	2026-07-20 13:45:00	2026-07-20 13:44:00	trailing	-0.054	2.2335	-0.054	1.5296
20372	2026-07-20	REGULAR	train	2026-07-20 13:39:00	2026-07-20 13:42:00	mechanical	1.9893	1.9893	1.8928	0.2524
20556	2026-07-20	REGULAR	train	2026-07-20 13:29:00	2026-07-20 13:27:00	trailing	4.335	2.245	4.335	-0.45
20566	2026-07-20	REGULAR	train	2026-07-20 13:13:00	2026-07-20 13:10:00	trailing	1.144	1.5257	1.144	1.9837
20390	2026-07-20	REGULAR	train	2026-07-20 12:20:00	2026-07-20 12:11:00	trailing	-0.23	2.3765	-0.23	1.3628
20512	2026-07-20	REGULAR	train	2026-07-20 12:06:00	2026-07-20 12:03:00	trailing	0.3231	1.9825	0.3231	4.4716
20397	2026-07-20	REGULAR	train			fallback_20m	-1.8827	-1.8827	-1.8827	-1.8827
20406	2026-07-20	REGULAR	train			fallback_20m	-0.8319	-0.8319	-0.8319	-0.8319
20554	2026-07-20	REGULAR	train			fallback_20m	-4.3442	-4.3442	-4.3442	-4.3442
20479	2026-07-20	REGULAR	train	2026-07-20 10:19:00	2026-07-20 10:06:00	trailing	2.785	1.5516	2.785	2.5795
20363	2026-07-20	REGULAR	train	2026-07-20 09:57:00	2026-07-20 09:57:00	same_minute	3.0374	3.0374	3.0374	3.121
21127	2026-07-21	REGULAR	train	2026-07-21 11:51:00	2026-07-21 11:53:00	mechanical	3.6499	3.6499	5.0356	1.1557
21067	2026-07-21	REGULAR	train		2026-07-21 10:26:00	trailing	0.2071	-0.2973	0.2071	-0.2973
22041	2026-07-22	REGULAR	train			fallback_20m	-0.8839	-0.8839	-0.8839	-0.8839
21913	2026-07-22	REGULAR	train			fallback_20m	0.7314	0.7314	0.7314	0.7314
22035	2026-07-22	REGULAR	train			fallback_20m	-1.2725	-1.2725	-1.2725	-1.2725
22101	2026-07-22	REGULAR	train	2026-07-22 10:55:00	2026-07-22 10:54:00	trailing	1.1267	1.6485	1.1267	-0.23
22175	2026-07-22	REGULAR	train		2026-07-22 10:00:00	trailing	0.7157	-1.6485	0.7157	-1.6485
21845	2026-07-22	PREMARKET	train	2026-07-22 08:18:00	2026-07-22 08:17:00	trailing	8.3576	6.682	8.3576	5.7045
21848	2026-07-22	PREMARKET	train		2026-07-22 08:13:00	trailing	0.7857	0.8638	0.7857	0.8638
21847	2026-07-22	PREMARKET	train		2026-07-22 08:14:00	trailing	0.4118	-1.747	0.4118	-1.747
23336	2026-07-23	REGULAR	train		2026-07-23 13:31:00	trailing	0.271	0.1458	0.271	0.1458
23101	2026-07-23	REGULAR	train	2026-07-23 12:32:00	2026-07-23 12:26:00	trailing	1.1026	1.9022	1.1026	-0.3188
